week_start,origin_state,destination_state,equipment_type,avg_rate_per_mile,min_rate_per_mile,max_rate_per_mile,load_volume
2025-12-01,PA,MD,Box Truck,5.01,4.41,5.91,7
2025-12-08,PA,MD,Box Truck,4.9,4.31,5.78,15
2025-12-15,PA,MD,Box Truck,4.51,3.97,5.32,8
2025-12-22,PA,MD,Box Truck,4.45,3.92,5.25,15
2025-12-29,PA,MD,Box Truck,4.27,3.76,5.04,8
2026-01-05,PA,MD,Box Truck,3.97,3.49,4.68,4
2026-01-12,PA,MD,Box Truck,4.23,3.72,4.99,7
2026-01-19,PA,MD,Box Truck,3.9,3.43,4.6,8
2026-01-26,PA,MD,Box Truck,3.88,3.41,4.58,10
2026-02-02,PA,MD,Box Truck,4.08,3.59,4.81,17
2026-02-09,PA,MD,Box Truck,3.94,3.47,4.65,12
2026-02-16,PA,MD,Box Truck,4.01,3.53,4.73,14
2026-02-23,PA,MD,Box Truck,4.0,3.52,4.72,13
2026-03-02,PA,MD,Box Truck,3.78,3.33,4.46,16
2026-03-09,PA,MD,Box Truck,4.03,3.55,4.76,11
2026-03-16,PA,MD,Box Truck,4.31,3.79,5.09,4
2026-03-23,PA,MD,Box Truck,4.08,3.59,4.81,12
2026-03-30,PA,MD,Box Truck,3.56,3.13,4.2,11
2026-04-06,PA,MD,Box Truck,3.56,3.13,4.2,13
2026-04-13,PA,MD,Box Truck,4.1,3.61,4.84,18
2026-04-20,PA,MD,Box Truck,3.81,3.35,4.5,6
2026-04-27,PA,MD,Box Truck,3.99,3.51,4.71,15
2026-05-04,PA,MD,Box Truck,3.62,3.19,4.27,7
2026-05-11,PA,MD,Box Truck,3.97,3.49,4.68,17
2025-12-01,PA,OH,Flatbed,4.43,3.9,5.23,16
2025-12-08,PA,OH,Flatbed,4.81,4.23,5.68,13
2025-12-15,PA,OH,Flatbed,5.05,4.44,5.96,17
2025-12-22,PA,OH,Flatbed,4.06,3.57,4.79,14
2025-12-29,PA,OH,Flatbed,4.81,4.23,5.68,18
2026-01-05,PA,OH,Flatbed,4.37,3.85,5.16,15
2026-01-12,PA,OH,Flatbed,4.28,3.77,5.05,15
2026-01-19,PA,OH,Flatbed,4.18,3.68,4.93,16
2026-01-26,PA,OH,Flatbed,3.85,3.39,4.54,4
2026-02-02,PA,OH,Flatbed,3.92,3.45,4.63,9
2026-02-09,PA,OH,Flatbed,3.67,3.23,4.33,10
2026-02-16,PA,OH,Flatbed,3.61,3.18,4.26,11
2026-02-23,PA,OH,Flatbed,3.56,3.13,4.2,16
2026-03-02,PA,OH,Flatbed,3.93,3.46,4.64,17
2026-03-09,PA,OH,Flatbed,3.91,3.44,4.61,5
2026-03-16,PA,OH,Flatbed,3.93,3.46,4.64,10
2026-03-23,PA,OH,Flatbed,4.12,3.63,4.86,13
2026-03-30,PA,OH,Flatbed,3.9,3.43,4.6,3
2026-04-06,PA,OH,Flatbed,4.11,3.62,4.85,16
2026-04-13,PA,OH,Flatbed,3.91,3.44,4.61,15
2026-04-20,PA,OH,Flatbed,3.5,3.08,4.13,9
2026-04-27,PA,OH,Flatbed,3.68,3.24,4.34,3
2026-05-04,PA,OH,Flatbed,3.82,3.36,4.51,13
2026-05-11,PA,OH,Flatbed,4.2,3.7,4.96,4
2025-12-01,NJ,PA,Box Truck,4.74,4.17,5.59,9
2025-12-08,NJ,PA,Box Truck,3.84,3.38,4.53,13
2025-12-15,NJ,PA,Box Truck,4.38,3.85,5.17,15
2025-12-22,NJ,PA,Box Truck,3.61,3.18,4.26,6
2025-12-29,NJ,PA,Box Truck,4.09,3.6,4.83,8
2026-01-05,NJ,PA,Box Truck,3.99,3.51,4.71,13
2026-01-12,NJ,PA,Box Truck,3.65,3.21,4.31,7
2026-01-19,NJ,PA,Box Truck,3.37,2.97,3.98,11
2026-01-26,NJ,PA,Box Truck,3.24,2.85,3.82,10
2026-02-02,NJ,PA,Box Truck,3.79,3.34,4.47,18
2026-02-09,NJ,PA,Box Truck,3.81,3.35,4.5,5
2026-02-16,NJ,PA,Box Truck,3.12,2.75,3.68,15
2026-02-23,NJ,PA,Box Truck,3.76,3.31,4.44,10
2026-03-02,NJ,PA,Box Truck,3.72,3.27,4.39,6
2026-03-09,NJ,PA,Box Truck,3.58,3.15,4.22,6
2026-03-16,NJ,PA,Box Truck,3.21,2.82,3.79,12
2026-03-23,NJ,PA,Box Truck,3.68,3.24,4.34,14
2026-03-30,NJ,PA,Box Truck,3.41,3.0,4.02,10
2026-04-06,NJ,PA,Box Truck,3.52,3.1,4.15,14
2026-04-13,NJ,PA,Box Truck,3.38,2.97,3.99,4
2026-04-20,NJ,PA,Box Truck,3.34,2.94,3.94,10
2026-04-27,NJ,PA,Box Truck,3.57,3.14,4.21,13
2026-05-04,NJ,PA,Box Truck,3.38,2.97,3.99,17
2026-05-11,NJ,PA,Box Truck,3.27,2.88,3.86,2
2025-12-01,NJ,NY,Flatbed,6.98,6.14,8.24,4
2025-12-08,NJ,NY,Flatbed,6.64,5.84,7.84,16
2025-12-15,NJ,NY,Flatbed,6.33,5.57,7.47,13
2025-12-22,NJ,NY,Flatbed,6.48,5.7,7.65,14
2025-12-29,NJ,NY,Flatbed,5.43,4.78,6.41,15
2026-01-05,NJ,NY,Flatbed,6.11,5.38,7.21,17
2026-01-12,NJ,NY,Flatbed,5.2,4.58,6.14,11
2026-01-19,NJ,NY,Flatbed,5.15,4.53,6.08,6
2026-01-26,NJ,NY,Flatbed,5.28,4.65,6.23,17
2026-02-02,NJ,NY,Flatbed,5.56,4.89,6.56,3
2026-02-09,NJ,NY,Flatbed,4.63,4.07,5.46,16
2026-02-16,NJ,NY,Flatbed,4.59,4.04,5.42,7
2026-02-23,NJ,NY,Flatbed,5.13,4.51,6.05,2
2026-03-02,NJ,NY,Flatbed,5.81,5.11,6.86,15
2026-03-09,NJ,NY,Flatbed,4.83,4.25,5.7,6
2026-03-16,NJ,NY,Flatbed,5.68,5.0,6.7,11
2026-03-23,NJ,NY,Flatbed,4.77,4.2,5.63,10
2026-03-30,NJ,NY,Flatbed,4.69,4.13,5.53,13
2026-04-06,NJ,NY,Flatbed,4.89,4.3,5.77,13
2026-04-13,NJ,NY,Flatbed,5.4,4.75,6.37,7
2026-04-20,NJ,NY,Flatbed,4.64,4.08,5.48,11
2026-04-27,NJ,NY,Flatbed,5.48,4.82,6.47,9
2026-05-04,NJ,NY,Flatbed,5.11,4.5,6.03,4
2026-05-11,NJ,NY,Flatbed,5.45,4.8,6.43,2
2025-12-01,PA,OH,Box Truck,3.45,3.04,4.07,9
